codigo;nomeseg;pessoacodigo;anoseq
2;Super Cliente;61043;2023
1;Cliente de Maior Valor;88446;2023
2;Super Cliente;37779;2023
2;Super Cliente;29068;2023
1;Cliente de Maior Valor;90736;2023
1;Cliente de Maior Valor;51904;2023
2;Super Cliente;140751;2023
5;Cliente Grande Transacional;11647;2023
2;Super Cliente;65279;2023
5;Cliente Grande Transacional;4004;2023
5;Cliente Grande Transacional;86102;2023
5;Cliente Grande Transacional;73780;2023
5;Cliente Grande Transacional;149427;2023
2;Super Cliente;63110;2023
2;Super Cliente;705;2023
5;Cliente Grande Transacional;6109;2023
2;Super Cliente;46400;2023
2;Super Cliente;64035;2023
2;Super Cliente;30057;2023
2;Super Cliente;14086;2023
2;Super Cliente;61449;2023
2;Super Cliente;63090;2023
2;Super Cliente;47661;2023
2;Super Cliente;42638;2023
5;Cliente Grande Transacional;7866;2023
5;Cliente Grande Transacional;29123;2023
5;Cliente Grande Transacional;79143;2023
2;Super Cliente;87745;2023
1;Cliente de Maior Valor;60946;2023
2;Super Cliente;82975;2023
2;Super Cliente;7568;2023
1;Cliente de Maior Valor;59488;2023
2;Super Cliente;50418;2023
1;Cliente de Maior Valor;85440;2023
2;Super Cliente;23441;2023
2;Super Cliente;92338;2023
2;Super Cliente;26141;2023
2;Super Cliente;83150;2023
5;Cliente Grande Transacional;5781;2023
2;Super Cliente;71816;2023
2;Super Cliente;6539;2023
2;Super Cliente;100731;2023
5;Cliente Grande Transacional;72389;2023
2;Super Cliente;7297;2023
1;Cliente de Maior Valor;15544;2023
2;Super Cliente;1562;2023
2;Super Cliente;46707;2023
2;Super Cliente;85411;2023
2;Super Cliente;12622;2023
1;Cliente de Maior Valor;93620;2023
2;Super Cliente;60858;2023
5;Cliente Grande Transacional;42775;2023
2;Super Cliente;65094;2023
1;Cliente de Maior Valor;56144;2023
1;Cliente de Maior Valor;67722;2023
5;Cliente Grande Transacional;58547;2023
5;Cliente Grande Transacional;77235;2023
2;Super Cliente;75801;2023
2;Super Cliente;85383;2023
5;Cliente Grande Transacional;6129;2023
2;Super Cliente;90787;2023
2;Super Cliente;26146;2023
2;Super Cliente;93104;2023
1;Cliente de Maior Valor;82452;2023
2;Super Cliente;81768;2023
1;Cliente de Maior Valor;7349;2023
2;Super Cliente;74645;2023
1;Cliente de Maior Valor;22154;2023
2;Super Cliente;72869;2023
2;Super Cliente;52173;2023
5;Cliente Grande Transacional;76095;2023
1;Cliente de Maior Valor;151551;2023
2;Super Cliente;75423;2023
5;Cliente Grande Transacional;91641;2023
1;Cliente de Maior Valor;106026;2023
1;Cliente de Maior Valor;15688;2023
2;Super Cliente;70735;2023
2;Super Cliente;29291;2023
5;Cliente Grande Transacional;90568;2023
1;Cliente de Maior Valor;72835;2023
5;Cliente Grande Transacional;95930;2023
2;Super Cliente;74384;2023
2;Super Cliente;65380;2023
5;Cliente Grande Transacional;125939;2023
2;Super Cliente;35065;2023
5;Cliente Grande Transacional;141435;2023
5;Cliente Grande Transacional;11421;2023
1;Cliente de Maior Valor;3397;2023
1;Cliente de Maior Valor;147703;2023
5;Cliente Grande Transacional;80639;2023
2;Super Cliente;154397;2023
5;Cliente Grande Transacional;100298;2023
1;Cliente de Maior Valor;55246;2023
5;Cliente Grande Transacional;70226;2023
2;Super Cliente;237;2023
1;Cliente de Maior Valor;202231;2023
5;Cliente Grande Transacional;58855;2023
2;Super Cliente;128849;2023
2;Super Cliente;4639;2023
2;Super Cliente;69115;2023
2;Super Cliente;68217;2023
2;Super Cliente;75288;2023
5;Cliente Grande Transacional;47645;2023
1;Cliente de Maior Valor;81360;2023
1;Cliente de Maior Valor;147485;2023
2;Super Cliente;32073;2023
2;Super Cliente;21923;2023
2;Super Cliente;88373;2023
5;Cliente Grande Transacional;44613;2023
2;Super Cliente;88498;2023
1;Cliente de Maior Valor;210486;2023
2;Super Cliente;72942;2023
1;Cliente de Maior Valor;90737;2023
2;Super Cliente;966;2023
2;Super Cliente;86750;2023
2;Super Cliente;41613;2023
1;Cliente de Maior Valor;58467;2023
5;Cliente Grande Transacional;1183;2023
1;Cliente de Maior Valor;91230;2023
1;Cliente de Maior Valor;75435;2023
2;Super Cliente;137226;2023
2;Super Cliente;56396;2023
1;Cliente de Maior Valor;93319;2023
2;Super Cliente;65542;2023
1;Cliente de Maior Valor;48703;2023
1;Cliente de Maior Valor;5802;2023
1;Cliente de Maior Valor;3677;2023
2;Super Cliente;91098;2023
5;Cliente Grande Transacional;60066;2023
5;Cliente Grande Transacional;198458;2023
5;Cliente Grande Transacional;95434;2023
5;Cliente Grande Transacional;81657;2023
2;Super Cliente;31394;2023
2;Super Cliente;90375;2023
2;Super Cliente;75546;2023
2;Super Cliente;92448;2023
5;Cliente Grande Transacional;74821;2023
2;Super Cliente;75625;2023
